"TABLE 6. Published Tuition and Fees in Current Dollars and in 2017 Dollars, 2007-08 to 2017-18 and Full-Time Fall Undergraduate Enrollment, 2007 to 2015 at Flagship Universities",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,In-State Tuition and Fees,,,,,,,,,,,Percentage Change,,Out-of-State Tuition and Fees,,,,,,,,,,,Percentage Change,,Full-Time Fall Enrollment,,,,,,,,
In 2017 Dollars,STATE,2007-08,2008-09,2009-10,2010-11,2011-12,2012-13,2013-14,2014-15,2015-16,2016-17,2017-18,1-Year,5-Year,2007-08,2008-09,2009-10,2010-11,2011-12,2012-13,2013-14,2014-15,2015-16,2016-17,2017-18,1-Year,5-Year,2007,2008,2009,2010,2011,2012,2013,2014,2015
University of Oklahoma,OK,"$7,647","$8,261","$8,506","$8,830","$9,020","$9,302","$9,342","$9,755","$10,349","$11,068","$11,538",4%,24%,"$18,357","$19,368","$20,124","$20,542","$20,888","$21,735","$22,115","$22,880","$24,079","$25,636","$26,919",5%,24%,"17,695","17,747","17,990","18,063","18,503","18,780","18,164","18,469","18,670"
University of Oregon,OR,"$7,248","$7,161","$8,443","$9,196","$9,523","$9,947","$10,231","$10,190","$10,553","$10,947","$11,571",6%,16%,"$22,718","$22,248","$26,974","$29,002","$29,962","$30,622","$31,215","$31,735","$32,847","$34,017","$34,611",2%,13%,"15,056","16,107","16,942","17,798","18,710","18,820","18,872","18,654","18,604"
Penn State University Park,PA,"$16,028","$15,253","$16,386","$17,123","$17,319","$17,570","$17,806","$17,982","$17,964","$18,208","$18,436",1%,5%,"$27,866","$27,754","$29,522","$30,444","$30,409","$30,714","$30,982","$31,287","$32,151","$32,939","$33,664",2%,10%,"34,998","36,329","37,077","36,954","37,360","37,619","38,543","39,077","39,294"
University of Rhode Island,RI,"$9,618","$9,657","$10,830","$11,763","$12,315","$13,302","$13,046","$12,849","$13,192","$13,106","$13,792",5%,4%,"$27,073","$27,572","$29,779","$30,520","$29,746","$29,934","$29,358","$28,842","$29,593","$29,371","$30,042",2%,0%,"10,794","11,123","11,686","11,469","11,586","11,863","11,728","12,025","12,213"
University of South Carolina,SC,"$9,808","$9,835","$10,407","$10,988","$11,017","$11,206","$11,334","$11,464","$11,777","$12,058","$12,262",2%,9%,"$25,421","$25,493","$26,976","$28,477","$28,552","$29,536","$29,895","$30,248","$31,076","$31,820","$32,362",2%,10%,"17,150","18,188","18,880","19,723","20,589","21,527","22,408","22,942","23,626"
University of South Dakota,SD,"$6,338","$6,486","$7,352","$7,592","$7,811","$8,231","$8,406","$8,242","$8,674","$8,602","$8,772",2%,7%,"$7,793","$7,955","$8,971","$9,273","$9,669","$10,311","$10,588","$10,381","$11,628","$11,889","$12,020",1%,17%,"4,435","4,381","4,350","4,399","4,484","4,597","4,700","4,853","4,853"
University of Tennessee: Knoxville,TN,"$6,971","$6,955","$7,792","$8,289","$9,097","$9,714","$11,730","$12,202","$12,756","$12,943","$12,970",0%,34%,"$21,005","$21,042","$23,468","$25,174","$27,345","$29,149","$30,792","$30,891","$31,413","$31,446","$31,160",-1%,7%,"19,781","20,252","19,686","20,122","19,838","19,480","19,685","20,178","20,467"
University of Texas at Austin,TX,"$9,014","$9,495","$10,151","$10,572","$10,610","$10,460","$10,259","$10,067","$10,083","$10,284","$10,414",1%,0%,"$28,843","$30,893","$34,107","$35,106","$35,083","$35,323","$35,444","$35,675","$35,731","$36,524","$36,984",1%,5%,"34,408","34,372","35,107","35,267","35,320","36,724","36,597","36,072","36,357"
University of Utah,UT,"$5,861","$5,881","$6,531","$7,045","$7,328","$7,628","$7,814","$8,153","$8,408","$8,665","$8,824",2%,16%,"$18,405","$18,474","$20,680","$22,278","$23,175","$24,192","$24,873","$25,960","$26,691","$27,504","$28,067",2%,16%,"14,398","14,359","14,953","16,139","16,846","17,297","17,035","16,912","16,787"
University of Virginia,VA,"$9,989","$10,578","$10,994","$11,933","$12,543","$12,828","$13,055","$13,355","$14,840","$15,984","$16,076",1%,25%,"$32,335","$33,161","$35,608","$36,943","$38,895","$39,892","$41,753","$43,341","$44,189","$45,833","$46,604",2%,17%,"13,493","13,617","13,848","13,835","14,051","14,137","14,414","14,922","15,198"
